brandName,os,osVersion,screenSizeInInches,displayType,resolutionInPixels,pixelDensity,rearCamera,frontCamera,batteryCapacity,fastCharging,cpuSpeed,processorCores,ramCapacity,gpuType,weight,internalStorage,externalStorage,yearOfRelease,price
Redmi,Android,10,6.67,NA,1080 x 2400,395,48 + 8 + 5 + 2,16,5020,Yes,"2x2.3 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,209,64 GB,NA,2020,13999
Redmi,Android,10,6.67,NA,1080 x 2400,395,48 + 8 + 5 + 2,16,5020,Yes,"2x2.3 GHz, 6x1.8 GHz",Octa-core,6 GB,Adreno 618,209,128 GB,NA,2020,16999
Redmi,Android,9.0,6.3,FHD Plus,1080 X 2340,409,48 + 5,13,4000,Yes,2.0 GHz,Octa,4GB,Adreno 612,186,64 GB,256 GB,2019,15990
Redmi,Android,9.0,6.3,FHD Plus,NA,409,48 + 5,13,4000,Yes,2.0 GHz,Octa,6GB,Adreno 612,186,128GB,256 GB,2019,14100
Realme,Android,10,6.5,NA,720 x 1560,270,13 + 8 + 2 + 2,5,6000,Yes,2.3 GHz,Octa-core,4 GB,PowerVR GE8320,209,64 GB,NA,2020,12274
Realme,Android,10,6.5,NA,720 x 1560,270,13 + 8 + 2 + 2,5,6000,Yes,2.3 GHz,Octa-core,3 GB,PowerVR GE8320,209,32 GB,NA,2020,11100
Redmi,Android,10,6.67,NA,1080 x 2400,395,64 + 64 + 8 + 2,20,5000,Yes,"1x2.84 GHz, 3x2.42 GHz, 4x1.80 GHz",Octa-core,8 GB,Adreno 650,218,128 GB,NA,2020,31990
Redmi,Android,10,6.67,NA,1080 x 2340,395,64 + 64 + 8 + 2,20,5000,Yes,"1x2.84 GHz, 3x2.42 GHz, 4x1.80 GHz",Octa-core,12 GB,Adreno 650,218,256GB,NA,2020,31990
Redmi,Android,9,6.22,NA,720x1520,270,13 + 2,8,5000,NA,"4x1.95 GHz, 4x1.45 GHz",Octa-core,2 GB,Adreno 505,188,32 GB,NA,2020,7499
Redmi,Android,9,6.22,NA,720x1520,270,13 + 2,8,5000,NA,"4x1.95 GHz, 4x1.45 GHz",Octa-core,3 GB,Adreno 505,188,32GB,NA,2020,8299
